# Normalisation fixtures for bn. Task W7.3.
# input <TAB> expected. Generated from models/rules/normalise.bn.json;
# a regression lock, not an oracle -- see NormalisationFixtureTest.
0	শূন্য
1	এক
7	সাত
9	নয়
10	দশ
11	এগারো
17	সতেরো
19	উনিশ
20	কুড়ি
21	একুশ
40	চল্লিশ
49	ঊনপঞ্চাশ
50	পঞ্চাশ
68	আটষট্টি
70	সত্তর
79	ঊনআশি
88	অষ্টাশি
90	নব্বই
99	নিরানব্বই
1000	এক হাজার
2500	দুই হাজার পাঁচ শো
10000	এক শূন্য শূন্য শূন্য শূন্য
100000	এক শূন্য শূন্য শূন্য শূন্য শূন্য
5 km	পাঁচ কিলোমিটার
250 kg	দুই শো পঞ্চাশ কিলোগ্রাম
12 m	বারো মিটার
7 min	সাত মিনিট
45 s	পঁয়তাল্লিশ সেকেন্ড
3 hr	তিন ঘণ্টা
100 %	এক শূন্য শূন্য %
2 l	দুই লিটার
30 cm	ত্রিশ সেন্টিমিটার
9 g	নয় গ্রাম
5km	পাঁচ কিলোমিটার
20 KM	কুড়ি কিলোমিটার
00:00	রাত বারোটা
05:30	সকাল পাঁচটা ত্রিশ মিনিট
09:00	সকাল নয়টা
12:00	দুপুর বারোটা
13:45	দুপুর একটা পঁয়তাল্লিশ মিনিট
14:30	দুপুর দুইটা ত্রিশ মিনিট
17:05	বিকেল পাঁচটা পাঁচ মিনিট
19:59	বিকেল সাতটা ঊনষাট মিনিট
21:15	রাত নয়টা পনেরো মিনিট
23:59	রাত এগারোটা ঊনষাট মিনিট
সেক্টর 1	সেক্টর এক
সেক্টর 7	সেক্টর সাত
সেক্টর 17	সেক্টর সতেরো
সেক্টর 40	সেক্টর চল্লিশ
সেক্টর 99	সেক্টর নিরানব্বই
সেক্টর 1234	সেক্টর এক হাজার দুই শো চৌত্রিশ
sector 12	sector বারো
unit 8	unit আট
108	এক শূন্য আট
112	এক এক দুই
100	এক শূন্য শূন্য
911	নয় এক এক
102	এক শূন্য দুই
101	এক শূন্য এক
4820193	চার আট দুই শূন্য এক নয় তিন
90210	নয় শূন্য দুই এক শূন্য
1234567890	এক দুই তিন চার পাঁচ ছয় সাত আট নয় শূন্য
20260904	দুই শূন্য দুই ছয় শূন্য নয় শূন্য চার
99999	নয় নয় নয় নয় নয়
100001	এক শূন্য শূন্য শূন্য শূন্য এক
20.29 85.82	কুড়ি দশমিক দুই নয় পঁচাশি দশমিক আট দুই
26.85 80.94	ছাব্বিশ দশমিক আট পাঁচ আশি দশমিক নয় চার
সেক্টর 17 14:30	সেক্টর সতেরো দুপুর দুইটা ত্রিশ মিনিট
14:30 5 km	দুপুর দুইটা ত্রিশ মিনিট পাঁচ কিলোমিটার
সেক্টর 4 250 kg	সেক্টর চার দুই শো পঞ্চাশ কিলোগ্রাম
0 2	শূন্য দুই
