# Normalisation fixtures for gu. Task W7.3.
# input <TAB> expected. Generated from models/rules/normalise.gu.json;
# a regression lock, not an oracle -- see NormalisationFixtureTest.
0	શૂન્ય
1	એક
7	સાત
9	નવ
10	દસ
11	અગિયાર
17	સત્તર
19	ઓગણીસ
20	વીસ
21	એકવીસ
40	ચાળીસ
49	ઓગણપચાસ
50	પચાસ
68	અડસઠ
70	સિત્તેર
79	ઓગણાએંસી
88	ઈઠ્યાસી
90	નેવું
99	નવ્વાણું
1000	એક હજાર
2500	બે હજાર પાંચ સો
10000	એક શૂન્ય શૂન્ય શૂન્ય શૂન્ય
100000	એક શૂન્ય શૂન્ય શૂન્ય શૂન્ય શૂન્ય
5 km	પાંચ કિલોમીટર
250 kg	બે સો પચાસ કિલોગ્રામ
12 m	બાર મીટર
7 min	સાત મિનિટ
45 s	પિસ્તાળીસ સેકન્ડ
3 hr	ત્રણ કલાક
100 %	એક શૂન્ય શૂન્ય %
2 l	બે લિટર
30 cm	ત્રીસ સેન્ટિમીટર
9 g	નવ ગ્રામ
5km	પાંચ કિલોમીટર
20 KM	વીસ કિલોમીટર
00:00	રાત્રે બાર વાગ્યે
05:30	સવારે પાંચ વાગીને ત્રીસ મિનિટ
09:00	સવારે નવ વાગ્યે
12:00	બપોરે બાર વાગ્યે
13:45	બપોરે એક વાગીને પિસ્તાળીસ મિનિટ
14:30	બપોરે બે વાગીને ત્રીસ મિનિટ
17:05	સાંજે પાંચ વાગીને પાંચ મિનિટ
19:59	સાંજે સાત વાગીને ઓગણસાઠ મિનિટ
21:15	રાત્રે નવ વાગીને પંદર મિનિટ
23:59	રાત્રે અગિયાર વાગીને ઓગણસાઠ મિનિટ
સેક્ટર 1	સેક્ટર એક
સેક્ટર 7	સેક્ટર સાત
સેક્ટર 17	સેક્ટર સત્તર
સેક્ટર 40	સેક્ટર ચાળીસ
સેક્ટર 99	સેક્ટર નવ્વાણું
સેક્ટર 1234	સેક્ટર એક હજાર બે સો ચોત્રીસ
sector 12	sector બાર
unit 8	unit આઠ
108	એક શૂન્ય આઠ
112	એક એક બે
100	એક શૂન્ય શૂન્ય
911	નવ એક એક
102	એક શૂન્ય બે
101	એક શૂન્ય એક
4820193	ચાર આઠ બે શૂન્ય એક નવ ત્રણ
90210	નવ શૂન્ય બે એક શૂન્ય
1234567890	એક બે ત્રણ ચાર પાંચ છ સાત આઠ નવ શૂન્ય
20260904	બે શૂન્ય બે છ શૂન્ય નવ શૂન્ય ચાર
99999	નવ નવ નવ નવ નવ
100001	એક શૂન્ય શૂન્ય શૂન્ય શૂન્ય એક
20.29 85.82	વીસ દશાંશ બે નવ પંચાસી દશાંશ આઠ બે
26.85 80.94	છવ્વીસ દશાંશ આઠ પાંચ એંસી દશાંશ નવ ચાર
સેક્ટર 17 14:30	સેક્ટર સત્તર બપોરે બે વાગીને ત્રીસ મિનિટ
14:30 5 km	બપોરે બે વાગીને ત્રીસ મિનિટ પાંચ કિલોમીટર
સેક્ટર 4 250 kg	સેક્ટર ચાર બે સો પચાસ કિલોગ્રામ
0 2	શૂન્ય બે
