# Normalisation fixtures for hi. Task W7.3.
# input <TAB> expected. Generated from models/rules/normalise.hi.json;
# a regression lock, not an oracle -- see NormalisationFixtureTest.
0	शून्य
1	एक
7	सात
9	नौ
10	दस
11	ग्यारह
17	सत्रह
19	उन्नीस
20	बीस
21	इक्कीस
40	चालीस
49	उनचास
50	पचास
68	अड़सठ
70	सत्तर
79	उन्यासी
88	अट्ठासी
90	नब्बे
99	निन्यानवे
1000	एक हज़ार
2500	दो हज़ार पाँच सौ
10000	एक शून्य शून्य शून्य शून्य
100000	एक शून्य शून्य शून्य शून्य शून्य
5 km	पाँच किलोमीटर
250 kg	दो सौ पचास किलोग्राम
12 m	बारह मीटर
7 min	सात मिनट
45 s	पैंतालीस सेकंड
3 hr	तीन घंटा
100 %	एक शून्य शून्य %
2 l	दो लीटर
30 cm	तीस सेंटीमीटर
9 g	नौ ग्राम
5km	पाँच किलोमीटर
20 KM	बीस किलोमीटर
00:00	रात बारह बजे
05:30	सुबह पाँच बजकर तीस मिनट
09:00	सुबह नौ बजे
12:00	दोपहर बारह बजे
13:45	दोपहर एक बजकर पैंतालीस मिनट
14:30	दोपहर दो बजकर तीस मिनट
17:05	शाम पाँच बजकर पाँच मिनट
19:59	शाम सात बजकर उनसठ मिनट
21:15	रात नौ बजकर पंद्रह मिनट
23:59	रात ग्यारह बजकर उनसठ मिनट
सेक्टर 1	सेक्टर एक
सेक्टर 7	सेक्टर सात
सेक्टर 17	सेक्टर सत्रह
सेक्टर 40	सेक्टर चालीस
सेक्टर 99	सेक्टर निन्यानवे
सेक्टर 1234	सेक्टर एक हज़ार दो सौ चौंतीस
sector 12	sector बारह
unit 8	unit आठ
108	एक शून्य आठ
112	एक एक दो
100	एक शून्य शून्य
911	नौ एक एक
102	एक शून्य दो
101	एक शून्य एक
4820193	चार आठ दो शून्य एक नौ तीन
90210	नौ शून्य दो एक शून्य
1234567890	एक दो तीन चार पाँच छह सात आठ नौ शून्य
20260904	दो शून्य दो छह शून्य नौ शून्य चार
99999	नौ नौ नौ नौ नौ
100001	एक शून्य शून्य शून्य शून्य एक
20.29 85.82	बीस दशमलव दो नौ पचासी दशमलव आठ दो
26.85 80.94	छब्बीस दशमलव आठ पाँच अस्सी दशमलव नौ चार
सेक्टर 17 14:30	सेक्टर सत्रह दोपहर दो बजकर तीस मिनट
14:30 5 km	दोपहर दो बजकर तीस मिनट पाँच किलोमीटर
सेक्टर 4 250 kg	सेक्टर चार दो सौ पचास किलोग्राम
0 2	शून्य दो
