# Normalisation fixtures for kn. Task W7.3.
# input <TAB> expected. Generated from models/rules/normalise.kn.json;
# a regression lock, not an oracle -- see NormalisationFixtureTest.
0	ಸೊನ್ನೆ
1	ಒಂದು
7	ಏಳು
9	ಒಂಬತ್ತು
10	ಹತ್ತು
11	ಹನ್ನೊಂದು
17	ಹದಿನೇಳು
19	ಹತ್ತೊಂಬತ್ತು
20	ಇಪ್ಪತ್ತು
21	ಇಪ್ಪತ್ತು ಒಂದು
40	ನಲವತ್ತು
49	ನಲವತ್ತು ಒಂಬತ್ತು
50	ಐವತ್ತು
68	ಅರವತ್ತು ಎಂಟು
70	ಎಪ್ಪತ್ತು
79	ಎಪ್ಪತ್ತು ಒಂಬತ್ತು
88	ಎಂಬತ್ತು ಎಂಟು
90	ತೊಂಬತ್ತು
99	ತೊಂಬತ್ತು ಒಂಬತ್ತು
1000	ಒಂದು ಸಾವಿರ
2500	ಎರಡು ಸಾವಿರ ಐದು ನೂರು
10000	ಒಂದು ಸೊನ್ನೆ ಸೊನ್ನೆ ಸೊನ್ನೆ ಸೊನ್ನೆ
100000	ಒಂದು ಸೊನ್ನೆ ಸೊನ್ನೆ ಸೊನ್ನೆ ಸೊನ್ನೆ ಸೊನ್ನೆ
5 km	ಐದು ಕಿಲೋಮೀಟರ್
250 kg	ಎರಡು ನೂರು ಐವತ್ತು ಕಿಲೋಗ್ರಾಂ
12 m	ಹನ್ನೆರಡು ಮೀಟರ್
7 min	ಏಳು ನಿಮಿಷ
45 s	ನಲವತ್ತು ಐದು ಸೆಕೆಂಡ್
3 hr	ಮೂರು ಗಂಟೆ
100 %	ಒಂದು ಸೊನ್ನೆ ಸೊನ್ನೆ %
2 l	ಎರಡು ಲೀಟರ್
30 cm	ಮೂವತ್ತು ಸೆಂಟಿಮೀಟರ್
9 g	ಒಂಬತ್ತು ಗ್ರಾಂ
5km	ಐದು ಕಿಲೋಮೀಟರ್
20 KM	ಇಪ್ಪತ್ತು ಕಿಲೋಮೀಟರ್
00:00	ರಾತ್ರಿ ಹನ್ನೆರಡು ಗಂಟೆಗೆ
05:30	ಬೆಳಿಗ್ಗೆ ಐದು ಗಂಟೆ ಮೂವತ್ತು ನಿಮಿಷಕ್ಕೆ
