# Normalisation fixtures for ml. Task W7.3.
# input <TAB> expected. Generated from models/rules/normalise.ml.json;
# a regression lock, not an oracle -- see NormalisationFixtureTest.
0	പൂജ്യം
1	ഒന്ന്
7	ഏഴ്
9	ഒമ്പത്
10	പത്ത്
11	പതിനൊന്ന്
17	പതിനേഴ്
19	പത്തൊമ്പത്
20	ഇരുപത്
21	ഇരുപത്തി ഒന്ന്
40	നാൽപത്
49	നാൽപത്തി ഒമ്പത്
50	അമ്പത്
68	അറുപത്തി എട്ട്
70	എഴുപത്
79	എഴുപത്തി ഒമ്പത്
88	എൺപത്തി എട്ട്
90	തൊണ്ണൂറ്
99	തൊണ്ണൂറ്റി ഒമ്പത്
1000	ഒന്ന് ആയിരം
2500	രണ്ട് ആയിരം അഞ്ച് നൂറ്
10000	ഒന്ന് പൂജ്യം പൂജ്യം പൂജ്യം പൂജ്യം
100000	ഒന്ന് പൂജ്യം പൂജ്യം പൂജ്യം പൂജ്യം പൂജ്യം
5 km	അഞ്ച് കിലോമീറ്റർ
250 kg	രണ്ട് നൂറ് അമ്പത് കിലോഗ്രാം
12 m	പന്ത്രണ്ട് മീറ്റർ
7 min	ഏഴ് മിനിറ്റ്
45 s	നാൽപത്തി അഞ്ച് സെക്കൻഡ്
3 hr	മൂന്ന് മണിക്കൂർ
100 %	ഒന്ന് പൂജ്യം പൂജ്യം %
2 l	രണ്ട് ലിറ്റർ
30 cm	മുപ്പത് സെന്റിമീറ്റർ
9 g	ഒമ്പത് ഗ്രാം
5km	അഞ്ച് കിലോമീറ്റർ
20 KM	ഇരുപത് കിലോമീറ്റർ
00:00	രാത്രി പന്ത്രണ്ട് മണിക്ക്
05:30	രാവിലെ അഞ്ച് മണി മുപ്പത് മിനിറ്റിന്
09:00	രാവിലെ ഒമ്പത് മണിക്ക്
12:00	ഉച്ചയ്ക്ക് പന്ത്രണ്ട് മണിക്ക്
13:45	ഉച്ചയ്ക്ക് ഒന്ന് മണി നാൽപത്തി അഞ്ച് മിനിറ്റിന്
14:30	ഉച്ചയ്ക്ക് രണ്ട് മണി മുപ്പത് മിനിറ്റിന്
17:05	വൈകുന്നേരം അഞ്ച് മണി അഞ്ച് മിനിറ്റിന്
19:59	വൈകുന്നേരം ഏഴ് മണി അമ്പത്തി ഒമ്പത് മിനിറ്റിന്
21:15	രാത്രി ഒമ്പത് മണി പതിനഞ്ച് മിനിറ്റിന്
23:59	രാത്രി പതിനൊന്ന് മണി അമ്പത്തി ഒമ്പത് മിനിറ്റിന്
സെക്ടർ 1	സെക്ടർ ഒന്ന്
സെക്ടർ 7	സെക്ടർ ഏഴ്
സെക്ടർ 17	സെക്ടർ പതിനേഴ്
സെക്ടർ 40	സെക്ടർ നാൽപത്
സെക്ടർ 99	സെക്ടർ തൊണ്ണൂറ്റി ഒമ്പത്
സെക്ടർ 1234	സെക്ടർ ഒന്ന് ആയിരം രണ്ട് നൂറ് മുപ്പത്തി നാല്
sector 12	sector പന്ത്രണ്ട്
unit 8	unit എട്ട്
108	ഒന്ന് പൂജ്യം എട്ട്
112	ഒന്ന് ഒന്ന് രണ്ട്
100	ഒന്ന് പൂജ്യം പൂജ്യം
911	ഒമ്പത് ഒന്ന് ഒന്ന്
102	ഒന്ന് പൂജ്യം രണ്ട്
101	ഒന്ന് പൂജ്യം ഒന്ന്
4820193	നാല് എട്ട് രണ്ട് പൂജ്യം ഒന്ന് ഒമ്പത് മൂന്ന്
90210	ഒമ്പത് പൂജ്യം രണ്ട് ഒന്ന് പൂജ്യം
1234567890	ഒന്ന് രണ്ട് മൂന്ന് നാല് അഞ്ച് ആറ് ഏഴ് എട്ട് ഒമ്പത് പൂജ്യം
20260904	രണ്ട് പൂജ്യം രണ്ട് ആറ് പൂജ്യം ഒമ്പത് പൂജ്യം നാല്
99999	ഒമ്പത് ഒമ്പത് ഒമ്പത് ഒമ്പത് ഒമ്പത്
100001	ഒന്ന് പൂജ്യം പൂജ്യം പൂജ്യം പൂജ്യം ഒന്ന്
20.29 85.82	ഇരുപത് ദശാംശം രണ്ട് ഒമ്പത് എൺപത്തി അഞ്ച് ദശാംശം എട്ട് രണ്ട്
26.85 80.94	ഇരുപത്തി ആറ് ദശാംശം എട്ട് അഞ്ച് എൺപത് ദശാംശം ഒമ്പത് നാല്
സെക്ടർ 17 14:30	സെക്ടർ പതിനേഴ് ഉച്ചയ്ക്ക് രണ്ട് മണി മുപ്പത് മിനിറ്റിന്
14:30 5 km	ഉച്ചയ്ക്ക് രണ്ട് മണി മുപ്പത് മിനിറ്റിന് അഞ്ച് കിലോമീറ്റർ
സെക്ടർ 4 250 kg	സെക്ടർ നാല് രണ്ട് നൂറ് അമ്പത് കിലോഗ്രാം
0 2	പൂജ്യം രണ്ട്
