# Normalisation fixtures for mr. Task W7.3.
# input <TAB> expected. Generated from models/rules/normalise.mr.json;
# a regression lock, not an oracle -- see NormalisationFixtureTest.
0	शून्य
1	एक
7	सात
9	नऊ
10	दहा
11	अकरा
17	सतरा
19	एकोणीस
20	वीस
21	एकवीस
40	चाळीस
49	एकोणपन्नास
50	पन्नास
68	अडुसष्ट
70	सत्तर
79	एकोणऐंशी
88	अठ्ठ्याऐंशी
90	नव्वद
99	नव्याण्णव
1000	एक हजार
2500	दोन हजार पाच शे
10000	एक शून्य शून्य शून्य शून्य
100000	एक शून्य शून्य शून्य शून्य शून्य
5 km	पाच किलोमीटर
250 kg	दोन शे पन्नास किलोग्रॅम
12 m	बारा मीटर
7 min	सात मिनिट
45 s	पंचेचाळीस सेकंद
3 hr	तीन तास
100 %	एक शून्य शून्य %
2 l	दोन लिटर
30 cm	तीस सेंटीमीटर
9 g	नऊ ग्रॅम
5km	पाच किलोमीटर
20 KM	वीस किलोमीटर
00:00	रात्री बारा वाजता
05:30	सकाळी पाच वाजून तीस मिनिटे
09:00	सकाळी नऊ वाजता
12:00	दुपारी बारा वाजता
13:45	दुपारी एक वाजून पंचेचाळीस मिनिटे
14:30	दुपारी दोन वाजून तीस मिनिटे
17:05	संध्याकाळी पाच वाजून पाच मिनिटे
19:59	संध्याकाळी सात वाजून एकोणसाठ मिनिटे
21:15	रात्री नऊ वाजून पंधरा मिनिटे
23:59	रात्री अकरा वाजून एकोणसाठ मिनिटे
सेक्टर 1	सेक्टर एक
सेक्टर 7	सेक्टर सात
सेक्टर 17	सेक्टर सतरा
सेक्टर 40	सेक्टर चाळीस
सेक्टर 99	सेक्टर नव्याण्णव
सेक्टर 1234	सेक्टर एक हजार दोन शे चौतीस
sector 12	sector बारा
unit 8	unit आठ
108	एक शून्य आठ
112	एक एक दोन
100	एक शून्य शून्य
911	नऊ एक एक
102	एक शून्य दोन
101	एक शून्य एक
4820193	चार आठ दोन शून्य एक नऊ तीन
90210	नऊ शून्य दोन एक शून्य
1234567890	एक दोन तीन चार पाच सहा सात आठ नऊ शून्य
20260904	दोन शून्य दोन सहा शून्य नऊ शून्य चार
99999	नऊ नऊ नऊ नऊ नऊ
100001	एक शून्य शून्य शून्य शून्य एक
20.29 85.82	वीस दशांश दोन नऊ पंच्याऐंशी दशांश आठ दोन
26.85 80.94	सव्वीस दशांश आठ पाच ऐंशी दशांश नऊ चार
सेक्टर 17 14:30	सेक्टर सतरा दुपारी दोन वाजून तीस मिनिटे
14:30 5 km	दुपारी दोन वाजून तीस मिनिटे पाच किलोमीटर
सेक्टर 4 250 kg	सेक्टर चार दोन शे पन्नास किलोग्रॅम
0 2	शून्य दोन
