# Normalisation fixtures for or. Task W7.3.
# input <TAB> expected. Generated from models/rules/normalise.or.json;
# a regression lock, not an oracle -- see NormalisationFixtureTest.
0	ଶୂନ୍ୟ
1	ଏକ
7	ସାତ
9	ନଅ
10	ଦଶ
11	ଏଗାର
17	ସତର
19	ଊଣେଇଶ
20	କୋଡ଼ିଏ
21	ଏକୋଇଶି
40	ଚାଳିଶି
49	ଅଣଚାଶ
50	ପଚାଶ
68	ଅଠଷଠି
70	ସତୁରି
79	ଅଣାଅଶୀ
88	ଅଠାଅଶୀ
90	ନବେ
99	ଅନେଶତ
1000	ଏକ ହଜାର
2500	ଦୁଇ ହଜାର ପାଞ୍ଚ ଶହ
10000	ଏକ ଶୂନ୍ୟ ଶୂନ୍ୟ ଶୂନ୍ୟ ଶୂନ୍ୟ
100000	ଏକ ଶୂନ୍ୟ ଶୂନ୍ୟ ଶୂନ୍ୟ ଶୂନ୍ୟ ଶୂନ୍ୟ
5 km	ପାଞ୍ଚ କିଲୋମିଟର
250 kg	ଦୁଇ ଶହ ପଚାଶ କିଲୋଗ୍ରାମ
12 m	ବାର ମିଟର
7 min	ସାତ ମିନିଟ୍
45 s	ପଞ୍ଚଚାଳିଶି ସେକେଣ୍ଡ
3 hr	ତିନି ଘଣ୍ଟା
100 %	ଏକ ଶୂନ୍ୟ ଶୂନ୍ୟ %
2 l	ଦୁଇ ଲିଟର
30 cm	ତିରିଶି ସେଣ୍ଟିମିଟର
9 g	ନଅ ଗ୍ରାମ
5km	ପାଞ୍ଚ କିଲୋମିଟର
20 KM	କୋଡ଼ିଏ କିଲୋମିଟର
00:00	ରାତି ବାରଟା
05:30	ସକାଳ ପାଞ୍ଚଟା ତିରିଶି ମିନିଟ୍
09:00	ସକାଳ ନଅଟା
12:00	ଅପରାହ୍ନ ବାରଟା
13:45	ଅପରାହ୍ନ ଏକଟା ପଞ୍ଚଚାଳିଶି ମିନିଟ୍
14:30	ଅପରାହ୍ନ ଦୁଇଟା ତିରିଶି ମିନିଟ୍
17:05	ସନ୍ଧ୍ୟା ପାଞ୍ଚଟା ପାଞ୍ଚ ମିନିଟ୍
19:59	ସନ୍ଧ୍ୟା ସାତଟା ଅଣଷଠି ମିନିଟ୍
21:15	ରାତି ନଅଟା ପନ୍ଦର ମିନିଟ୍
23:59	ରାତି ଏଗାରଟା ଅଣଷଠି ମିନିଟ୍
ସେକ୍ଟର 1	ସେକ୍ଟର ଏକ
ସେକ୍ଟର 7	ସେକ୍ଟର ସାତ
ସେକ୍ଟର 17	ସେକ୍ଟର ସତର
ସେକ୍ଟର 40	ସେକ୍ଟର ଚାଳିଶି
ସେକ୍ଟର 99	ସେକ୍ଟର ଅନେଶତ
ସେକ୍ଟର 1234	ସେକ୍ଟର ଏକ ହଜାର ଦୁଇ ଶହ ଚଉତିରିଶି
sector 12	sector ବାର
unit 8	unit ଆଠ
108	ଏକ ଶୂନ୍ୟ ଆଠ
112	ଏକ ଏକ ଦୁଇ
100	ଏକ ଶୂନ୍ୟ ଶୂନ୍ୟ
911	ନଅ ଏକ ଏକ
102	ଏକ ଶୂନ୍ୟ ଦୁଇ
101	ଏକ ଶୂନ୍ୟ ଏକ
4820193	ଚାରି ଆଠ ଦୁଇ ଶୂନ୍ୟ ଏକ ନଅ ତିନି
90210	ନଅ ଶୂନ୍ୟ ଦୁଇ ଏକ ଶୂନ୍ୟ
1234567890	ଏକ ଦୁଇ ତିନି ଚାରି ପାଞ୍ଚ ଛଅ ସାତ ଆଠ ନଅ ଶୂନ୍ୟ
20260904	ଦୁଇ ଶୂନ୍ୟ ଦୁଇ ଛଅ ଶୂନ୍ୟ ନଅ ଶୂନ୍ୟ ଚାରି
99999	ନଅ ନଅ ନଅ ନଅ ନଅ
100001	ଏକ ଶୂନ୍ୟ ଶୂନ୍ୟ ଶୂନ୍ୟ ଶୂନ୍ୟ ଏକ
20.29 85.82	କୋଡ଼ିଏ ଦଶମିକ ଦୁଇ ନଅ ପଞ୍ଚାଅଶୀ ଦଶମିକ ଆଠ ଦୁଇ
26.85 80.94	ଛବିଶି ଦଶମିକ ଆଠ ପାଞ୍ଚ ଅଶୀ ଦଶମିକ ନଅ ଚାରି
ସେକ୍ଟର 17 14:30	ସେକ୍ଟର ସତର ଅପରାହ୍ନ ଦୁଇଟା ତିରିଶି ମିନିଟ୍
14:30 5 km	ଅପରାହ୍ନ ଦୁଇଟା ତିରିଶି ମିନିଟ୍ ପାଞ୍ଚ କିଲୋମିଟର
ସେକ୍ଟର 4 250 kg	ସେକ୍ଟର ଚାରି ଦୁଇ ଶହ ପଚାଶ କିଲୋଗ୍ରାମ
0 2	ଶୂନ୍ୟ ଦୁଇ
