# Normalisation fixtures for ta. Task W7.3.
# input <TAB> expected. Generated from models/rules/normalise.ta.json;
# a regression lock, not an oracle -- see NormalisationFixtureTest.
0	பூஜ்யம்
1	ஒன்று
7	ஏழு
9	ஒன்பது
10	பத்து
11	பதினொன்று
17	பதினேழு
19	பத்தொன்பது
20	இருபது
21	இருபத்தி ஒன்று
40	நாற்பது
49	நாற்பத்தி ஒன்பது
50	ஐம்பது
68	அறுபத்தி எட்டு
70	எழுபது
79	எழுபத்தி ஒன்பது
88	எண்பத்தி எட்டு
90	தொண்ணூறு
99	தொண்ணூற்றி ஒன்பது
1000	ஒன்று ஆயிரம்
2500	இரண்டு ஆயிரம் ஐந்து நூறு
10000	ஒன்று பூஜ்யம் பூஜ்யம் பூஜ்யம் பூஜ்யம்
100000	ஒன்று பூஜ்யம் பூஜ்யம் பூஜ்யம் பூஜ்யம் பூஜ்யம்
5 km	ஐந்து கிலோமீட்டர்
250 kg	இரண்டு நூறு ஐம்பது கிலோகிராம்
12 m	பன்னிரண்டு மீட்டர்
7 min	ஏழு நிமிடம்
45 s	நாற்பத்தி ஐந்து வினாடி
3 hr	மூன்று மணி நேரம்
100 %	ஒன்று பூஜ்யம் பூஜ்யம் %
2 l	இரண்டு லிட்டர்
30 cm	முப்பது சென்டிமீட்டர்
9 g	ஒன்பது கிராம்
5km	ஐந்து கிலோமீட்டர்
20 KM	இருபது கிலோமீட்டர்
00:00	இரவு பன்னிரண்டு மணி
05:30	காலை ஐந்து மணி முப்பது நிமிடம்
09:00	காலை ஒன்பது மணி
12:00	மதியம் பன்னிரண்டு மணி
13:45	மதியம் ஒன்று மணி நாற்பத்தி ஐந்து நிமிடம்
14:30	மதியம் இரண்டு மணி முப்பது நிமிடம்
17:05	மாலை ஐந்து மணி ஐந்து நிமிடம்
19:59	மாலை ஏழு மணி ஐம்பத்தி ஒன்பது நிமிடம்
21:15	இரவு ஒன்பது மணி பதினைந்து நிமிடம்
23:59	இரவு பதினொன்று மணி ஐம்பத்தி ஒன்பது நிமிடம்
செக்டர் 1	செக்டர் ஒன்று
செக்டர் 7	செக்டர் ஏழு
செக்டர் 17	செக்டர் பதினேழு
செக்டர் 40	செக்டர் நாற்பது
செக்டர் 99	செக்டர் தொண்ணூற்றி ஒன்பது
செக்டர் 1234	செக்டர் ஒன்று ஆயிரம் இரண்டு நூறு முப்பத்தி நான்கு
sector 12	sector பன்னிரண்டு
unit 8	unit எட்டு
108	ஒன்று பூஜ்யம் எட்டு
112	ஒன்று ஒன்று இரண்டு
100	ஒன்று பூஜ்யம் பூஜ்யம்
911	ஒன்பது ஒன்று ஒன்று
102	ஒன்று பூஜ்யம் இரண்டு
101	ஒன்று பூஜ்யம் ஒன்று
4820193	நான்கு எட்டு இரண்டு பூஜ்யம் ஒன்று ஒன்பது மூன்று
90210	ஒன்பது பூஜ்யம் இரண்டு ஒன்று பூஜ்யம்
1234567890	ஒன்று இரண்டு மூன்று நான்கு ஐந்து ஆறு ஏழு எட்டு ஒன்பது பூஜ்யம்
20260904	இரண்டு பூஜ்யம் இரண்டு ஆறு பூஜ்யம் ஒன்பது பூஜ்யம் நான்கு
99999	ஒன்பது ஒன்பது ஒன்பது ஒன்பது ஒன்பது
100001	ஒன்று பூஜ்யம் பூஜ்யம் பூஜ்யம் பூஜ்யம் ஒன்று
20.29 85.82	இருபது புள்ளி இரண்டு ஒன்பது எண்பத்தி ஐந்து புள்ளி எட்டு இரண்டு
26.85 80.94	இருபத்தி ஆறு புள்ளி எட்டு ஐந்து எண்பது புள்ளி ஒன்பது நான்கு
செக்டர் 17 14:30	செக்டர் பதினேழு மதியம் இரண்டு மணி முப்பது நிமிடம்
14:30 5 km	மதியம் இரண்டு மணி முப்பது நிமிடம் ஐந்து கிலோமீட்டர்
செக்டர் 4 250 kg	செக்டர் நான்கு இரண்டு நூறு ஐம்பது கிலோகிராம்
0 2	பூஜ்யம் இரண்டு
