# Normalisation fixtures for te. Task W7.3.
# input <TAB> expected. Generated from models/rules/normalise.te.json;
# a regression lock, not an oracle -- see NormalisationFixtureTest.
0	సున్నా
1	ఒకటి
7	ఏడు
9	తొమ్మిది
10	పది
11	పదకొండు
17	పదిహేడు
19	పంతొమ్మిది
20	ఇరవై
21	ఇరవై ఒకటి
40	నలభై
49	నలభై తొమ్మిది
50	యాభై
68	అరవై ఎనిమిది
70	డెబ్బై
79	డెబ్బై తొమ్మిది
88	ఎనభై ఎనిమిది
90	తొంభై
99	తొంభై తొమ్మిది
1000	ఒకటి వెయ్యి
2500	రెండు వెయ్యి ఐదు వంద
10000	ఒకటి సున్నా సున్నా సున్నా సున్నా
100000	ఒకటి సున్నా సున్నా సున్నా సున్నా సున్నా
5 km	ఐదు కిలోమీటర్లు
250 kg	రెండు వంద యాభై కిలోగ్రాములు
12 m	పన్నెండు మీటర్లు
7 min	ఏడు నిమిషాలు
45 s	నలభై ఐదు సెకన్లు
3 hr	మూడు గంటలు
100 %	ఒకటి సున్నా సున్నా %
2 l	రెండు లీటర్లు
30 cm	ముప్పై సెంటీమీటర్లు
9 g	తొమ్మిది గ్రాములు
5km	ఐదు కిలోమీటర్లు
20 KM	ఇరవై కిలోమీటర్లు
00:00	రాత్రి పన్నెండు గంటలకు
05:30	ఉదయం ఐదు గంటల ముప్పై నిమిషాలకు
09:00	ఉదయం తొమ్మిది గంటలకు
12:00	మధ్యాహ్నం పన్నెండు గంటలకు
13:45	మధ్యాహ్నం ఒకటి గంటల నలభై ఐదు నిమిషాలకు
14:30	మధ్యాహ్నం రెండు గంటల ముప్పై నిమిషాలకు
17:05	సాయంత్రం ఐదు గంటల ఐదు నిమిషాలకు
19:59	సాయంత్రం ఏడు గంటల యాభై తొమ్మిది నిమిషాలకు
21:15	రాత్రి తొమ్మిది గంటల పదిహేను నిమిషాలకు
23:59	రాత్రి పదకొండు గంటల యాభై తొమ్మిది నిమిషాలకు
సెక్టర్ 1	సెక్టర్ ఒకటి
సెక్టర్ 7	సెక్టర్ ఏడు
సెక్టర్ 17	సెక్టర్ పదిహేడు
సెక్టర్ 40	సెక్టర్ నలభై
సెక్టర్ 99	సెక్టర్ తొంభై తొమ్మిది
సెక్టర్ 1234	సెక్టర్ ఒకటి వెయ్యి రెండు వంద ముప్పై నాలుగు
sector 12	sector పన్నెండు
unit 8	unit ఎనిమిది
108	ఒకటి సున్నా ఎనిమిది
112	ఒకటి ఒకటి రెండు
100	ఒకటి సున్నా సున్నా
911	తొమ్మిది ఒకటి ఒకటి
102	ఒకటి సున్నా రెండు
101	ఒకటి సున్నా ఒకటి
4820193	నాలుగు ఎనిమిది రెండు సున్నా ఒకటి తొమ్మిది మూడు
90210	తొమ్మిది సున్నా రెండు ఒకటి సున్నా
1234567890	ఒకటి రెండు మూడు నాలుగు ఐదు ఆరు ఏడు ఎనిమిది తొమ్మిది సున్నా
20260904	రెండు సున్నా రెండు ఆరు సున్నా తొమ్మిది సున్నా నాలుగు
99999	తొమ్మిది తొమ్మిది తొమ్మిది తొమ్మిది తొమ్మిది
100001	ఒకటి సున్నా సున్నా సున్నా సున్నా ఒకటి
20.29 85.82	ఇరవై దశాంశం రెండు తొమ్మిది ఎనభై ఐదు దశాంశం ఎనిమిది రెండు
26.85 80.94	ఇరవై ఆరు దశాంశం ఎనిమిది ఐదు ఎనభై దశాంశం తొమ్మిది నాలుగు
సెక్టర్ 17 14:30	సెక్టర్ పదిహేడు మధ్యాహ్నం రెండు గంటల ముప్పై నిమిషాలకు
14:30 5 km	మధ్యాహ్నం రెండు గంటల ముప్పై నిమిషాలకు ఐదు కిలోమీటర్లు
సెక్టర్ 4 250 kg	సెక్టర్ నాలుగు రెండు వంద యాభై కిలోగ్రాములు
0 2	సున్నా రెండు
